#t	<mx>	<my>	<mz>	Dt
4.702274e-09	0.1922084839551115	0.3147900859246018	0.9294961541067608	2.8956620010931182e-11
4.731231e-09	0.014200172751635992	0.3650755361719201	0.9308695977324691	2.897719957593872e-11
4.760208e-09	-0.16414965766333464	0.32252777287423534	0.932218174899951	2.8998483599041644e-11
4.789206e-09	-0.2978679196817946	0.19943282755506336	0.9335423127624332	2.9020467189697506e-11
4.818227e-09	-0.35393949338979896	0.02822168824261417	0.9348424312854596	2.9043145419953975e-11
4.847270e-09	-0.31948493538978495	-0.14700578199878875	0.9361189433602491	2.9066513334042043e-11
4.876336e-09	-0.20474308936794106	-0.2818040508381596	0.9373722549165168	2.9090565957143456e-11
4.905427e-09	-0.04015949876782002	-0.34265443836040493	0.9386027650346193	2.911529830381228e-11
4.934542e-09	0.1316185019651159	-0.3153285682931307	0.9398108660569228	2.91407053858556e-11
4.963683e-09	0.26675346700039404	-0.20824826480373415	0.9409969436982797	2.9166782219149236e-11
4.992850e-09	0.3314033114133522	-0.05003783149481176	0.9421613771555071	2.919352383084989e-11
4.992850e-09	0.3314033114133522	-0.05003783149481176	0.9421613771555071	7.150153426350395e-12
5.000000e-09	0.33426908972572705	-0.008057160393934159	0.9424432385137688	7.150153426350395e-12
