#t	<mx>	<my>	<mz>	u_x	u_y	u_z
7.201000e-07	1	0	0	0.0015167828713561423	0.0030890365120220657	0.3325045481589113
7.251000e-07	1	0	0	0.0019474590976145934	0.0031449892688167396	0.32990398580470054
7.301000e-07	1	0	0	0.0008455982511635872	0.004093010094955966	0.3279490620201497
7.351000e-07	1	0	0	0.0017163282250245257	0.0046907069379093285	0.3256138120216064
7.401000e-07	1	0	0	0.0015561318521216672	0.00467748752218942	0.32288812469161354
7.451000e-07	1	0	0	0.00017485766605284222	0.0046819295344451605	0.31952891577670783
7.501000e-07	1	0	0	-9.078886844001993e-05	0.004932711911369141	0.31724663403513104
7.551000e-07	1	0	0	0.0001815317102005885	0.006189810657919816	0.3164880529120526
7.601000e-07	1	0	0	-0.00019882276464938672	0.005895353373342705	0.31447088413929686
7.651000e-07	1	0	0	0.0006232989850394455	0.004699760716052984	0.311825699038346
7.701000e-07	1	0	0	0.0002457514598179883	0.0044086535014050835	0.3098838278074109
7.751000e-07	1	0	0	0.0005810118808050927	0.0045846226408370015	0.30777700809543884
7.801000e-07	1	0	0	0.0001898746581119357	0.004473839342002601	0.3050935833863792
7.851000e-07	1	0	0	-0.00024490704184639613	0.00330561596632946	0.30268153948257914
7.901000e-07	1	0	0	-0.0012795576973740855	0.002786734614771297	0.3004220357872792
7.951000e-07	1	0	0	-0.0019055177087074914	0.002897014052656989	0.29817939772851476
8.001000e-07	1	0	0	-0.001370288800226851	0.0025853352744995284	0.2953853462884371
8.051000e-07	1	0	0	-0.0009399413212079436	0.0014590564602409413	0.2937332647866621
8.101000e-07	1	0	0	-0.0013252704670705677	0.0004729193648077171	0.291365222454637
8.151000e-07	1	0	0	-0.0007103000629187876	-2.203601730149378e-05	0.2906906308635738
8.201000e-07	1	0	0	-0.00031366960123699734	-0.0013845375630173807	0.28826030539801784
8.251000e-07	1	0	0	0.00014259850673623798	-0.002152550538233328	0.2856601317048124
8.301000e-07	1	0	0	0.001131276527221869	-0.002971848290352251	0.28416896152835586
8.351000e-07	1	0	0	0.001346094370622903	-0.003779262265057755	0.2808249335423467
8.401000e-07	1	0	0	0.002289064121659698	-0.004115100049734	0.2785835612710579
